,StudentNumber,DPS_HomeLg,CYI_Lat,CYI_Deg,Disability,GT_C,FRL_C,Sect504_C,SPED_C,t_grade,time_t,time_t1
0,405587,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,4,414,220
1,405587,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,5,220,260
2,405587,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,6,260,503
3,405587,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,7,503,537
4,405587,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,8,537,559
5,405587,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,9,559,597
6,417855,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,3,309,405
7,417855,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,4,405,487
8,417855,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,5,487,502
9,417855,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,6,502,300
10,417855,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,7,300,330
11,417855,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,8,330,544
12,417855,1.0,1.0,1.0,0.0,0.0,1.0,0.1,0.8,9,544,539
13,419934,1.0,1.0,1.0,0.0,0.0,1.0,0.090909091,0.818181818,4,373,439
14,419934,1.0,1.0,1.0,0.0,0.0,1.0,0.090909091,0.818181818,5,439,509
15,419934,1.0,1.0,1.0,0.0,0.0,1.0,0.090909091,0.818181818,6,509,496
16,419934,1.0,1.0,1.0,0.0,0.0,1.0,0.090909091,0.818181818,7,496,550
17,419934,1.0,1.0,1.0,0.0,0.0,1.0,0.090909091,0.818181818,8,550,586
18,419934,1.0,1.0,1.0,0.0,0.0,1.0,0.090909091,0.818181818,9,586,569
29,456273,1.0,1.0,0.0,0.0,0.0,0.727272727,0.090909091,0.818181818,4,443,514
30,456273,1.0,1.0,0.0,0.0,0.0,0.727272727,0.090909091,0.818181818,5,514,517
31,456273,1.0,1.0,0.0,0.0,0.0,0.727272727,0.090909091,0.818181818,6,517,531
32,456273,1.0,1.0,0.0,0.0,0.0,0.727272727,0.090909091,0.818181818,7,531,547
33,456273,1.0,1.0,0.0,0.0,0.0,0.727272727,0.090909091,0.818181818,8,547,586
34,456273,1.0,1.0,0.0,0.0,0.0,0.727272727,0.090909091,0.818181818,9,586,635
35,460442,1.0,1.0,1.0,0.0,0.727272727,0.0,0.181818182,0.545454545,3,569,649
36,460442,1.0,1.0,1.0,0.0,0.727272727,0.0,0.181818182,0.545454545,4,649,665
37,460442,1.0,1.0,1.0,0.0,0.727272727,0.0,0.181818182,0.545454545,5,665,688
38,460442,1.0,1.0,1.0,0.0,0.727272727,0.0,0.181818182,0.545454545,6,688,680
39,460442,1.0,1.0,1.0,0.0,0.727272727,0.0,0.181818182,0.545454545,7,680,699
40,460442,1.0,1.0,1.0,0.0,0.727272727,0.0,0.181818182,0.545454545,8,699,763
41,460442,1.0,1.0,1.0,0.0,0.727272727,0.0,0.181818182,0.545454545,9,763,788
42,462663,1.0,1.0,0.0,1.0,0.0,0.076923077,0.0,0.923076923,6,607,557
43,462663,1.0,1.0,0.0,1.0,0.0,0.076923077,0.0,0.923076923,9,615,593
44,466856,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4,563,597
45,466856,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,5,597,593
46,466856,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,6,593,604
47,466856,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,7,604,607
48,466856,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,8,607,606
49,466856,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,9,606,662
50,469769,0.0,1.0,1.0,0.0,0.0,0.6,0.1,0.8,3,455,502
51,469769,0.0,1.0,1.0,0.0,0.0,0.6,0.1,0.8,4,502,538
52,469769,0.0,1.0,1.0,0.0,0.0,0.6,0.1,0.8,5,538,528
53,469769,0.0,1.0,1.0,0.0,0.0,0.6,0.1,0.8,6,528,530
54,469769,0.0,1.0,1.0,0.0,0.0,0.6,0.1,0.8,7,530,567
55,469769,0.0,1.0,1.0,0.0,0.0,0.6,0.1,0.8,8,567,589
56,469769,0.0,1.0,1.0,0.0,0.0,0.6,0.1,0.8,9,589,600
57,469887,1.0,1.0,1.0,0.0,0.0,0.0,0.090909091,0.818181818,3,461,503
58,469887,1.0,1.0,1.0,0.0,0.0,0.0,0.090909091,0.818181818,4,503,538
59,469887,1.0,1.0,1.0,0.0,0.0,0.0,0.090909091,0.818181818,5,538,559
60,469887,1.0,1.0,1.0,0.0,0.0,0.0,0.090909091,0.818181818,6,559,533
61,469887,1.0,1.0,1.0,0.0,0.0,0.0,0.090909091,0.818181818,7,533,566
62,469887,1.0,1.0,1.0,0.0,0.0,0.0,0.090909091,0.818181818,8,566,616
63,469887,1.0,1.0,1.0,0.0,0.0,0.0,0.090909091,0.818181818,9,616,638
64,469967,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7,497,494
65,469967,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8,494,566
